,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions,prompt_length,prompt_word_count,custom_score_100,custom_grade,rank_band,has_keywords,keyword_count,keyword_density
7472,code,"Role: Technical lead for environment applications.
Task: Design a system architecture for develop risk assessment framework.
Context: This is for a mid-scale enterprise with 10k daily users.
Constraints: Must be scalable, secure, and cost-effective.
Output Format: Architecture diagram description + component list + implementation roadmap.",high,88,B,0.06,4,4,4,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,344,45,86.08,A,Excellent,1,1,0.022222222222222223
7473,creative,Creative content needed: analyze website traffic patterns theme for energy publication.,medium,69,D,0.53,3,3,2,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,87,11,47.43,D,Poor,1,1,0.09090909090909091
7474,data_analysis,"Role: Research analyst in engineering field.
Task: Perform comparative analysis of write press release.
Context: Comparing 3 different approaches/methods over 12-month period.
Constraints: Control for variables, note limitations, statistical rigor.
Output Format: Methodology + comparison table + statistical tests + conclusions.",high,96,A,0.06,4,5,4,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,333,41,81.89,B,Good,0,0,0.0
7475,presentation,"Role: Training facilitator for sports programs.
Task: Design a workshop presentation on design e-learning course module.
Instructions: Include interactive elements and discussion prompts.
Constraints: 45-minute session, accommodate 20 participants.
Output Format: Slide deck outline + facilitator guide + handout content.",high,91,A,0.17,5,4,5,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,325,40,86.05,A,Excellent,0,0,0.0
7476,image,"Role: UI/UX designer for government products.
Task: Design a mockup for develop security protocols.
Instructions: Follow modern UI trends, prioritize accessibility.
Constraints: Must comply with WCAG 2.1 AA standards.
Output Format: Wireframe description + visual design specs + interaction notes.",high,91,A,0.09,5,5,4,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,301,40,93.66,A,Excellent,0,0,0.0
7477,video,"Role: Educational video scriptwriter focusing on environment.
Task: Write a script for an instructional video explaining create training video content.
Context: Target audience is beginners with no prior knowledge.
Constraints: Maximum 5 minutes, simple language, include visual cues.
Output Format: Two-column script (visual | audio) with timing markers.",high,92,A,0.1,4,5,4,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,359,48,80.41,B,Good,1,1,0.020833333333333332
7478,post,"Role: Content creator for transportation communities.
Task: Write a Twitter thread about create employee onboarding materials.
Instructions: Hook in first tweet, educational content, strong conclusion.
Constraints: 8-10 tweets, each under 280 characters.
Output Format: Full thread with engagement prompts for each tweet.",high,97,A,0.19,5,5,4,5,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,325,42,89.29,A,Excellent,0,0,0.0
7479,document,Need a guide about write technical documentation for sales users. Step-by-step format.,medium,73,C,0.48,2,4,4,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,86,12,56.05,C,Average,0,0,0.0
7480,post,"Role: Community manager for healthcare forums.
Task: Draft an announcement post about build chatbot for customer support.
Instructions: Clear, enthusiastic, encourage community participation.
Constraints: Include relevant links, moderate length.
Output Format: Post content + formatting suggestions + reply templates.",high,95,A,0.19,4,5,5,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,321,39,81.36,B,Good,0,0,0.0
7481,creative,Create story featuring write product launch announcement for design audience. 500 words.,medium,84,B,0.33,2,4,3,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,88,12,56.62,C,Average,0,0,0.0
7482,presentation,Need a deck on create stakeholder communication plan for customer service conference. 10 slides max.,medium,79,C,0.43,2,2,3,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,100,15,50.01,D,Poor,0,0,0.0
7483,image,Generate images about design email newsletter template. Use appropriate colors for design industry.,medium,76,C,0.32,3,4,2,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,99,13,52.89,D,Poor,0,0,0.0
7484,image,"Role: UI/UX designer for retail products.
Task: Design a mockup for build automated testing suite.
Instructions: Follow modern UI trends, prioritize accessibility.
Constraints: Must comply with WCAG 2.1 AA standards.
Output Format: Wireframe description + visual design specs + interaction notes.",high,87,B,0.2,4,4,5,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,300,41,76.74,B,Good,0,0,0.0
7485,email,Email needed: design e-learning course module proposal for sports prospect.,medium,65,D,0.55,2,3,2,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,75,10,43.69,D,Poor,0,0,0.0
7486,report,Analyze create social media strategy and write report for finance leadership. Include findings.,medium,80,B,0.48,4,2,3,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,95,13,55.52,C,Average,1,1,0.07692307692307693
7487,video,clip showing analyze website traffic patterns,low,57,F,0.8,2,2,2,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,45,6,32.41,F,Very Poor,1,2,0.3333333333333333
7488,other,develop security protocols plan,low,52,F,0.63,2,1,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,31,4,29.23,F,Very Poor,0,0,0.0
7489,code,I need a function that can build dashboard for KPI tracking. It should be in Python and work for agriculture data.,medium,80,B,0.46,2,4,3,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,114,21,56.5,C,Average,0,0,0.0
7490,presentation,"Role: Executive presentation designer for consulting consulting.
Task: Create a 12-slide deck about develop risk assessment framework.
Instructions: Use data-driven storytelling, include compelling visuals.
Constraints: Each slide max 6 bullet points, consistent branding.
Output Format: Slide outline with content for each slide + speaker notes.",high,86,B,0.2,4,5,4,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,350,45,76.72,B,Good,0,0,0.0
7491,other,"Role: Project manager for human resources initiatives.
Task: Create a project plan for analyze churn rate factors.
Instructions: Define scope, milestones, resources, risks.
Constraints: 6-month timeline, budget constraints, 5-person team.
Output Format: Project charter + WBS + timeline + risk register.",high,86,B,0.11,5,5,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,307,41,88.52,A,Excellent,1,2,0.04878048780487805
7492,document,document on analyze supply chain efficiency,low,47,F,0.83,2,2,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,43,6,26.46,F,Very Poor,1,1,0.16666666666666666
7493,post,"Role: Social media manager for real estate brands.
Task: Create a LinkedIn post about create budget proposal.
Instructions: Professional tone, include call-to-action, optimize for engagement.
Constraints: 300 words max, 3-5 hashtags, appropriate for B2B audience.
Output Format: Post text + hashtag suggestions + best posting time.",high,91,A,0.16,5,5,5,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,335,46,94.94,A,Excellent,0,0,0.0
7494,presentation,Build presentation for analyze website traffic patterns. Audience: energy executives.,medium,68,D,0.34,3,4,4,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,85,10,60.21,C,Average,1,1,0.1
7495,presentation,Build presentation for build data pipeline. Audience: healthcare executives.,medium,81,B,0.5,4,4,4,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,76,9,58.75,C,Average,0,0,0.0
